UTF8 // codepage
Фантастика	  SF, Fantasy
 military_history Військова історія	  Military History
 sci_veterinary Ветеринарія	  Veterinary
 sci_zoo Зоологія	  Zoology
 sci_botany Ботаніка	  Botany
 sci_textbook Підручники	  Textbook
 sci_crib Шпаргалки	  Cribs
 sci_abstract Реферати	  Abstract
 foreign_language Іноземні мови	  Foreign languages
 psy_childs Дитяча психологія	  psy_childs
 psy_theraphy Психотерапія і консультування		  psy_theraphy
 psy_sex_and_family Секс і сімейна психологія	  Sex and family
Комп'ютери і Інтернет	  Computers
 comp_www Інтернет	  Internet
 comp_programming Програмування	  Programming
 comp_hard Апаратне забезпечення	  Hardware
 comp_soft Програми	  Software
 comp_db Бази даних	  Databases
 comp_osnet ОС і Мережі	  OS & Networking
 computers Навколокомпьютерна література	  Computers: Misk
 comp_dsp Цифрова обробка сигналів	  DSP
Довідкова література	  Reference
 ref_encyc Енциклопедії	  Encyclopedias
 ref_dict Словники	  Dictionaries
 ref_ref Довідники	  Reference
 ref_guide Керівництва	  Guidebooks
 reference Довідкова література	  Misk References
 design Мистецтво і Дизайн	  Art, Design
 geo_guides Путівники	  Guides
Релігія і духовність	  Religion
 religion_rel Релігія	  Religion
 religion_esoterics Езотерика	  Esoterics
 religion_self Самоудосконалення	  Self-perfection
 religion Релігійна література: інше	  Religion: Other
 religion_budda Буддизм	  Buddha
 religion_christianity Християнство	  Christianity
 religion_orthodoxy Православ'я	  Orthodoxy
 religion_catholicism Католицизм	  Catholicism
 religion_protestantism Протестантизм 	  Protestantism
 religion_hinduism Індуїзм	  Hinduism
 religion_islam Іслам	  Islam
 religion_judaism Іудаїзм	  Judaism
 astrology Астрологія	  Astrology
 palmistry Хіромантія	  Palmistry
 religion_paganism Язичництво	  Paganism
Гумор	  Humor
 sf_humor Гумористична фантастика	  Humor SF
 humor_anecdote Анекдоти	  Anecdote
 humor_prose Гумористична проза	  Humor Prose
 humor_verse Гумористичні вірші	  Humor Verses
 humor Гумор: інше	  Misk Humor
 comedy Комедія	  Comedy
 humor_satire Сатира	  Satire
Домоводство (Будинок і сім'я)	  Home, Family
 home_cooking Кулінарія	  Cooking
 home_pets Домашні тварини	  Pets
